config_id,retrieval_mode,coarse_mode,reranker,reformulation,prompt_mode,llm_model,bge_large_en_v1.5,medembed,delta_med_minus_bge
C1,dense,coarse_k20,reranker_off,no_reformulation,zero_shot,gemma3,0.5632364493322859,0.5373134328358209,-0.025923016496465
C2,dense,coarse_off,reranker_off,no_reformulation,zero_shot,gemma3,0.5632364493322859,0.5373134328358209,-0.025923016496465
C3,dense,coarse_k20,reranker_on,no_reformulation,zero_shot,gemma3,0.5883739198743126,0.5671641791044776,-0.02120974076983506
C4,dense,coarse_off,reranker_on,no_reformulation,zero_shot,gemma3,0.5883739198743126,0.5671641791044776,-0.02120974076983506
C5,dense,coarse_off,reranker_on,reformulation,zero_shot,gemma3,0.5868028279654359,0.5687352710133543,-0.01806755695208162
C6,dense,coarse_k20,reranker_on,reformulation,zero_shot,gemma3,0.5860172820109977,0.5718774548311076,-0.014139827179890041
C7,dense,coarse_k20,reranker_off,no_reformulation,zero_shot,llama3_med42_8b,0.5907305577376276,0.5789473684210527,-0.01178318931657496
C8,dense,coarse_k20,reranker_off,reformulation,zero_shot,gemma3,0.5640219952867243,0.5530243519245875,-0.010997643362136711
C9,dense,coarse_off,reranker_off,reformulation,zero_shot,gemma3,0.5648075412411626,0.5538098978790259,-0.010997643362136711
C10,dense,coarse_off,reranker_off,no_reformulation,zero_shot,llama3_med42_8b,0.5907305577376276,0.5805184603299293,-0.01021209740769835
C11,hybrid,coarse_k20,reranker_on,reformulation,zero_shot,llama3_med42_8b,0.5930871956009427,0.5852317360565593,-0.00785545954438338
C12,dense,coarse_k20,reranker_off,reformulation,zero_shot,llama3_med42_8b,0.6001571091908877,0.593872741555381,-0.006284367635506771
C13,dense,coarse_off,reranker_on,no_reformulation,zero_shot,llama3_med42_8b,0.589159465828751,0.584446190102121,-0.004713275726630051
C14,dense,coarse_k20,reranker_on,no_reformulation,zero_shot,llama3_med42_8b,0.589159465828751,0.5852317360565593,-0.00392772977219169
C15,dense,coarse_k20,reranker_on,reformulation,zero_shot,llama3_med42_8b,0.6017282010997643,0.6048703849175177,0.00314218381775333
C16,dense,coarse_off,reranker_off,reformulation,zero_shot,llama3_med42_8b,0.5954438334642577,0.598586017282011,0.00314218381775333
C17,dense,coarse_off,reranker_on,reformulation,zero_shot,llama3_med42_8b,0.5993715632364494,0.603299293008641,0.00392772977219169
