run_id,family,index_name,embedding_model,retrieval_mode,coarse_mode,reranker,reformulation,prompt_mode,llm_model,accuracy,correct,total,n_reruns,mean_accuracy_reruns,std_accuracy_reruns,metrics_path
RAG|medembed|dense|coarse_k20|reranker_on|reformulation|llama3_med42_8b|zero_shot|v2,RAG,medembed,abhinand/MedEmbed-large-v0.1,dense,coarse_k20,reranker_on,reformulation,zero_shot,llama3_med42_8b,0.604870384918,770,1273,1,0.604870384918,0.000000000000,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_on/reformulation/llama3_med42_8b/zero_shot/v2/metrics.json
RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_on|reformulation|llama3_med42_8b|cot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_k20,reranker_on,reformulation,cot,llama3_med42_8b,0.603299293009,768,1273,1,0.603299293009,0.000000000000,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/reformulation/llama3_med42_8b/cot/metrics.json
RAG|medembed|dense|coarse_off|reranker_on|reformulation|llama3_med42_8b|zero_shot|base,RAG,medembed,abhinand/MedEmbed-large-v0.1,dense,coarse_off,reranker_on,reformulation,zero_shot,llama3_med42_8b,0.603299293009,768,1273,1,0.603299293009,0.000000000000,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_on/reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_on|reformulation|llama3_med42_8b|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_k20,reranker_on,reformulation,zero_shot,llama3_med42_8b,0.601728201100,766,1273,1,0.601728201100,0.000000000000,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_off|reformulation|llama3_med42_8b|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_k20,reranker_off,reformulation,zero_shot,llama3_med42_8b,0.600157109191,764,1273,1,0.600157109191,0.000000000000,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_off/reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG|bge_large_en_v1.5|dense|coarse_off|reranker_on|reformulation|llama3_med42_8b|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_off,reranker_on,reformulation,zero_shot,llama3_med42_8b,0.599371563236,763,1273,1,0.599371563236,0.000000000000,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_on/reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG|medembed|dense|coarse_off|reranker_off|reformulation|llama3_med42_8b|zero_shot|base,RAG,medembed,abhinand/MedEmbed-large-v0.1,dense,coarse_off,reranker_off,reformulation,zero_shot,llama3_med42_8b,0.598586017282,762,1273,1,0.598586017282,0.000000000000,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_off/reformulation/llama3_med42_8b/zero_shot/metrics.json
NO_RAG|cot|llama3_med42_8b|v2,NO_RAG,none,none,none,none,none,none,cot,llama3_med42_8b,0.597014925373,760,1273,1,0.597014925373,0.000000000000,evaluation_results/final_output/NO_RAG/cot/llama3_med42_8b/v2/metrics.json
RAG|bge_large_en_v1.5|dense|coarse_off|reranker_off|reformulation|llama3_med42_8b|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_off,reranker_off,reformulation,zero_shot,llama3_med42_8b,0.595443833464,758,1273,1,0.595443833464,0.000000000000,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_off/reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG|medembed|dense|coarse_k20|reranker_off|reformulation|llama3_med42_8b|zero_shot|base,RAG,medembed,abhinand/MedEmbed-large-v0.1,dense,coarse_k20,reranker_off,reformulation,zero_shot,llama3_med42_8b,0.593872741555,756,1273,1,0.593872741555,0.000000000000,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_off/reformulation/llama3_med42_8b/zero_shot/metrics.json
