factor,dimension,dimension_value,n_pairs,mean_delta,median_delta,positive_pairs,negative_pairs,min_delta,max_delta
coarse_mode,index_name,bge_large_en_v1.5,9,0.000785545955,0.000000000000,3,2,-0.000785545954,0.004713275727
coarse_mode,index_name,medembed,8,-0.000196386489,0.000000000000,3,3,-0.004713275727,0.003142183818
reformulation,index_name,bge_large_en_v1.5,8,0.004418695994,0.003142183818,6,2,-0.002356637863,0.012568735271
reformulation,index_name,medembed,8,0.013747054203,0.016103692066,8,0,0.001571091909,0.019638648861
reranker,index_name,bge_large_en_v1.5,8,0.012077769049,0.012961508248,6,2,-0.001571091909,0.025137470542
reranker,index_name,medembed,8,0.014925373135,0.012961508248,8,0,0.003927729772,0.029850746269
retrieval_mode,index_name,bge_large_en_v1.5,3,-0.018067556952,-0.008641005499,0,3,-0.037706205813,-0.007855459544
retrieval_mode,index_name,medembed,1,-0.019638648861,-0.019638648861,0,1,-0.019638648861,-0.019638648861
coarse_mode,llm_model,gemma3,8,0.000098193244,0.000000000000,1,3,-0.000785545954,0.003142183818
coarse_mode,llm_model,llama3_med42_8b,9,0.000523697303,0.000785545954,5,2,-0.004713275727,0.004713275727
reformulation,llm_model,gemma3,8,0.004615082482,0.001571091909,6,2,-0.002356637863,0.016496465043
reformulation,llm_model,llama3_med42_8b,8,0.013550667714,0.013747054203,8,0,0.004713275727,0.019638648861
reranker,llm_model,gemma3,8,0.023468185389,0.023566378633,8,0,0.014925373134,0.029850746269
reranker,llm_model,llama3_med42_8b,8,0.003534956795,0.003927729772,6,2,-0.001571091909,0.010997643362
retrieval_mode,llm_model,llama3_med42_8b,4,-0.018460329929,-0.014139827180,0,4,-0.037706205813,-0.007855459544
coarse_mode,prompt_mode,zero_shot,17,0.000323460099,0.000000000000,6,5,-0.004713275727,0.004713275727
reformulation,prompt_mode,zero_shot,16,0.009082875098,0.009819324431,14,2,-0.002356637863,0.019638648861
reranker,prompt_mode,zero_shot,16,0.013501571092,0.012961508248,14,2,-0.001571091909,0.029850746269
retrieval_mode,prompt_mode,zero_shot,4,-0.018460329929,-0.014139827180,0,4,-0.037706205813,-0.007855459544
coarse_mode,retrieval_mode,dense,16,0.000245483111,0.000000000000,5,5,-0.004713275727,0.004713275727
coarse_mode,retrieval_mode,hybrid,1,0.001571091909,0.001571091909,1,0,0.001571091909,0.001571091909
reformulation,retrieval_mode,dense,16,0.009082875098,0.009819324431,14,2,-0.002356637863,0.019638648861
reranker,retrieval_mode,dense,16,0.013501571092,0.012961508248,14,2,-0.001571091909,0.029850746269
retrieval_mode,retrieval_mode,,4,-0.018460329929,-0.014139827180,0,4,-0.037706205813,-0.007855459544
